timestamp,class_id,score,x_min,y_min,x_max,y_max
2025-08-12T18:35:33.803266,-1,1.000,925,1273,1042,1405
2025-08-12T18:35:33.871168,-1,1.000,932,1284,1049,1416
2025-08-12T18:35:33.938872,-1,1.000,930,1283,1049,1418
2025-08-12T18:35:34.031248,2,0.536,936,1296,1060,1434
2025-08-12T18:35:34.031381,2,0.532,691,837,748,906
2025-08-12T18:35:34.031725,7,0.379,702,1159,905,1469
2025-08-12T18:35:34.031837,4,0.361,2005,292,2871,1011
2025-08-12T18:35:34.470604,-1,1.000,2005,290,2871,1009
2025-08-12T18:35:34.732229,-1,1.000,1998,281,2881,1014
2025-08-12T18:35:34.975190,-1,1.000,2003,291,2869,1010
2025-08-12T18:35:35.222294,-1,1.000,1994,281,2877,1014
2025-08-12T18:35:35.334964,7,0.628,702,1165,910,1481
2025-08-12T18:35:35.335120,2,0.604,692,842,753,908
2025-08-12T18:35:35.335442,2,0.597,944,1308,1065,1449
2025-08-12T18:35:35.335514,2,0.483,749,1043,829,1148
2025-08-12T18:35:35.335624,4,0.393,2017,291,2871,1009
2025-08-12T18:35:35.335686,2,0.381,1169,612,1231,645
2025-08-12T18:35:35.771644,-1,1.000,2019,289,2873,1007
2025-08-12T18:35:36.047846,-1,1.000,2008,273,2897,1020
2025-08-12T18:35:36.305086,-1,1.000,2013,280,2884,1012
2025-08-12T18:35:36.576586,-1,1.000,2013,282,2884,1014
2025-08-12T18:35:36.677952,2,0.701,693,847,757,918
2025-08-12T18:35:36.678115,2,0.694,757,1052,842,1156
2025-08-12T18:35:36.678191,2,0.608,963,1340,1085,1492
2025-08-12T18:35:36.678250,2,0.409,1166,611,1231,646
2025-08-12T18:35:36.678326,7,0.379,712,1179,925,1500
2025-08-12T18:35:36.678423,4,0.353,2026,291,2871,1008
2025-08-12T18:35:37.085263,-1,1.000,2026,291,2871,1008
2025-08-12T18:35:37.335339,-1,1.000,2018,283,2880,1014
2025-08-12T18:35:37.586145,-1,1.000,2023,290,2868,1007
2025-08-12T18:35:37.826240,-1,1.000,2026,289,2871,1006
2025-08-12T18:35:37.931480,2,0.736,696,857,759,926
2025-08-12T18:35:37.931624,2,0.664,764,1063,849,1165
2025-08-12T18:35:37.931977,2,0.542,974,1369,1100,1523
2025-08-12T18:35:37.932066,7,0.530,712,1192,929,1531
2025-08-12T18:35:37.932135,2,0.496,1162,610,1229,646
2025-08-12T18:35:37.932241,4,0.406,2020,290,2871,1009
2025-08-12T18:35:38.351188,-1,1.000,2015,281,2883,1014
2025-08-12T18:35:38.609824,-1,1.000,2024,290,2875,1009
2025-08-12T18:35:38.881813,-1,1.000,2018,281,2886,1014
2025-08-12T18:35:39.133652,-1,1.000,2026,290,2877,1009
2025-08-12T18:35:39.214461,2,0.681,701,863,763,928
2025-08-12T18:35:39.214709,2,0.464,1160,614,1228,648
2025-08-12T18:35:39.214800,7,0.375,720,1211,942,1555
2025-08-12T18:35:39.339811,-1,1.000,720,1211,942,1555
2025-08-12T18:35:39.428151,-1,1.000,722,1217,944,1561
2025-08-12T18:35:39.511754,-1,1.000,725,1221,943,1558
2025-08-12T18:35:39.598494,-1,1.000,726,1225,948,1569
2025-08-12T18:35:39.664632,2,0.685,700,865,767,931
2025-08-12T18:35:39.664796,2,0.551,1159,614,1226,647
2025-08-12T18:35:39.664889,7,0.350,728,1220,950,1577
2025-08-12T18:35:39.803589,-1,1.000,728,1220,950,1577
2025-08-12T18:35:39.914266,-1,1.000,731,1227,953,1584
2025-08-12T18:35:40.005919,-1,1.000,733,1228,955,1585
2025-08-12T18:35:40.113579,-1,1.000,734,1228,956,1585
2025-08-12T18:35:40.228275,2,0.699,704,867,767,935
2025-08-12T18:35:40.228453,2,0.471,1158,613,1226,649
2025-08-12T18:35:40.228802,2,0.431,1004,1430,1150,1603
2025-08-12T18:35:40.228914,7,0.389,733,1227,958,1580
2025-08-12T18:35:40.228999,5,0.374,727,1227,961,1581
2025-08-12T18:35:40.229070,2,0.366,780,1090,872,1210
2025-08-12T18:35:40.394717,-1,1.000,729,1230,977,1606
2025-08-12T18:35:40.486551,-1,1.000,734,1242,973,1603
2025-08-12T18:35:40.575598,-1,1.000,733,1239,976,1607
2025-08-12T18:35:40.677201,-1,1.000,737,1249,976,1610
2025-08-12T18:35:40.779888,2,0.544,711,875,776,949
2025-08-12T18:35:40.780168,2,0.536,1023,1472,1172,1616
2025-08-12T18:35:40.780320,4,0.530,2008,289,2871,1011
2025-08-12T18:35:40.780412,2,0.506,789,1109,887,1230
2025-08-12T18:35:40.780507,5,0.458,739,1251,973,1613
2025-08-12T18:35:40.780568,2,0.425,1156,616,1221,650
2025-08-12T18:35:41.274919,-1,1.000,2001,282,2881,1018
2025-08-12T18:35:41.602029,-1,1.000,2009,290,2872,1012
2025-08-12T18:35:41.916246,-1,1.000,2009,288,2872,1010
2025-08-12T18:35:42.282402,-1,1.000,2000,279,2880,1015
2025-08-12T18:35:42.419682,2,0.569,805,1124,895,1238
2025-08-12T18:35:42.419876,4,0.556,2014,289,2871,1010
2025-08-12T18:35:42.419960,2,0.524,714,877,780,957
2025-08-12T18:35:42.420035,2,0.468,1155,616,1219,649
2025-08-12T18:35:42.420110,2,0.450,1043,1499,1169,1608
2025-08-12T18:35:42.420193,7,0.363,747,1260,973,1597
2025-08-12T18:35:43.020981,-1,1.000,2008,280,2882,1015
2025-08-12T18:35:43.360404,-1,1.000,2006,280,2880,1015
2025-08-12T18:35:43.742651,-1,1.000,2015,288,2872,1009
2025-08-12T18:35:44.062208,-1,1.000,2008,278,2882,1013
2025-08-12T18:35:44.186166,2,0.678,813,1137,909,1258
2025-08-12T18:35:44.186313,2,0.598,713,891,782,964
2025-08-12T18:35:44.186641,4,0.576,2012,289,2871,1009
